MOL_1,MOL_2,logV
Cc1ccccc1,CCc1ccccc1,-7.5506
CCc1ccccc1,Cc1ccccc1,-7.48745
Cc1ccccc1,CCc1ccccc1,-7.60746
Cc1ccccc1,CCc1ccccc1,-7.60722
CCc1ccccc1,Cc1ccccc1,-7.48743
CCc1ccccc1,Cc1ccccc1,-7.48757
Cc1ccccc1,CCc1ccccc1,-7.60613
CCc1ccccc1,Cc1ccccc1,-7.48775
Cc1ccccc1,CCc1ccccc1,-7.60526
CCc1ccccc1,Cc1ccccc1,-7.48788
Cc1ccccc1,CCc1ccccc1,-7.60486
CCc1ccccc1,Cc1ccccc1,-7.48793
Cc1ccccc1,CCc1ccccc1,-7.60475
CCc1ccccc1,Cc1ccccc1,-7.48774
Cc1ccccc1,CCc1ccccc1,-7.60498
CCc1ccccc1,Cc1ccccc1,-7.48733
Cc1ccccc1,CCc1ccccc1,-7.60534
CCc1ccccc1,Cc1ccccc1,-7.48587
Cc1ccccc1,CCc1ccccc1,-7.60613
CCc1ccccc1,Cc1ccccc1,-7.48338
Cc1ccccc1,CCc1ccccc1,-7.60683
CCc1ccccc1,Cc1ccccc1,-7.54167
Cc1ccccc1,CCc1ccccc1,-7.66756
Cc1ccccc1,CCc1ccccc1,-7.66226
CCc1ccccc1,Cc1ccccc1,-7.54159
CCc1ccccc1,Cc1ccccc1,-7.54222
Cc1ccccc1,CCc1ccccc1,-7.66153
CCc1ccccc1,Cc1ccccc1,-7.54306
Cc1ccccc1,CCc1ccccc1,-7.6574
CCc1ccccc1,Cc1ccccc1,-7.54377
Cc1ccccc1,CCc1ccccc1,-7.6553
CCc1ccccc1,Cc1ccccc1,-7.54395
Cc1ccccc1,CCc1ccccc1,-7.65462
CCc1ccccc1,Cc1ccccc1,-7.54273
Cc1ccccc1,CCc1ccccc1,-7.65568
CCc1ccccc1,Cc1ccccc1,-7.53782
Cc1ccccc1,CCc1ccccc1,-7.65834
CCc1ccccc1,Cc1ccccc1,-7.52893
Cc1ccccc1,CCc1ccccc1,-7.66084
CCc1ccccc1,Cc1ccccc1,-7.48753
Cc1ccccc1,CCc1ccccc1,-7.60641
Cc1ccccc1,CCc1ccccc1,-7.60722
CCc1ccccc1,Cc1ccccc1,-7.48743
CCc1ccccc1,Cc1ccccc1,-7.54205
Cc1ccccc1,CCc1ccccc1,-7.66282
Cc1ccccc1,CCc1ccccc1,-7.66226
CCc1ccccc1,Cc1ccccc1,-7.54159
CCc1ccccc1,Cc1ccccc1,-7.4877
Cc1ccccc1,CCc1ccccc1,-7.60546
CCc1ccccc1,Cc1ccccc1,-7.54281
Cc1ccccc1,CCc1ccccc1,-7.65839
CCc1ccccc1,Cc1ccccc1,-7.48792
Cc1ccccc1,CCc1ccccc1,-7.60478
CCc1ccccc1,Cc1ccccc1,-7.54401
Cc1ccccc1,CCc1ccccc1,-7.65476
CCc1ccccc1,Cc1ccccc1,-7.48793
Cc1ccccc1,CCc1ccccc1,-7.60476
CCc1ccccc1,Cc1ccccc1,-7.54431
Cc1ccccc1,CCc1ccccc1,-7.65421
CCc1ccccc1,Cc1ccccc1,-7.48769
Cc1ccccc1,CCc1ccccc1,-7.60503
CCc1ccccc1,Cc1ccccc1,-7.54382
Cc1ccccc1,CCc1ccccc1,-7.65475
CCc1ccccc1,Cc1ccccc1,-7.48712
Cc1ccccc1,CCc1ccccc1,-7.60549
CCc1ccccc1,Cc1ccccc1,-7.54205
Cc1ccccc1,CCc1ccccc1,-7.65616
CCc1ccccc1,Cc1ccccc1,-7.48611
Cc1ccccc1,CCc1ccccc1,-7.60603
CCc1ccccc1,Cc1ccccc1,-7.53865
Cc1ccccc1,CCc1ccccc1,-7.65799
CCc1ccccc1,Cc1ccccc1,-7.48471
Cc1ccccc1,CCc1ccccc1,-7.60653
CCc1ccccc1,Cc1ccccc1,-7.53371
Cc1ccccc1,CCc1ccccc1,-7.65974
CCc1ccccc1,Cc1ccccc1,-7.48157
Cc1ccccc1,CCc1ccccc1,-7.60709
CCc1ccccc1,Cc1ccccc1,-7.52235
Cc1ccccc1,CCc1ccccc1,-7.66176
CCc1ccccc1,COCCO,-7.37444
COCCO,CCc1ccccc1,-6.91489
COCCO,CCc1ccccc1,-6.466
CCc1ccccc1,COCCO,-7.3729
CCc1ccccc1,COCCO,-7.38456
COCCO,CCc1ccccc1,-6.82793
CCc1ccccc1,COCCO,-7.40472
COCCO,CCc1ccccc1,-6.74824
CCc1ccccc1,COCCO,-7.43495
COCCO,CCc1ccccc1,-6.67793
CCc1ccccc1,COCCO,-7.47622
COCCO,CCc1ccccc1,-6.61638
CCc1ccccc1,COCCO,-7.49994
COCCO,CCc1ccccc1,-6.59041
CCc1ccccc1,COCCO,-7.52632
COCCO,CCc1ccccc1,-6.56674
CCc1ccccc1,COCCO,-7.58483
COCCO,CCc1ccccc1,-6.5279
CCc1ccccc1,COCCO,-7.65482
COCCO,CCc1ccccc1,-6.49791
CCc1ccccc1,COCCO,-7.73838
COCCO,CCc1ccccc1,-6.47724
CCc1ccccc1,COCCO,-7.83392
COCCO,CCc1ccccc1,-6.4671
CCc1ccccc1,COCCO,-7.48898
COCCO,CCc1ccccc1,-7.10874
COCCO,CCc1ccccc1,-6.65985
CCc1ccccc1,COCCO,-7.48743
CCc1ccccc1,COCCO,-7.4991
