Smiles,T,Property
CCCCCCc1ccccc1,323,-6.88122
CCCC(C)C,273,-7.93222
CCCC(C)C,298,-8.18027
CCCC(C)C,323,-8.41874
CC(C)CCN,298,-7.3154
CC(C)CCN,323,-7.63274
CCCCCCCc1ccccc1,298,-6.27376
CCCCCCCc1ccccc1,323,-6.69513
CCCC(C)=O,273,-7.35356
CCCC(C)=O,298,-7.67112
CCCC(C)=O,323,-7.93101
CCCC(=O)O,273,-6.06099
CCCC(=O)O,298,-6.55978
CCCC(=O)O,323,-6.93628
CN(C)CCO,298,-5.72123
CN(C)CCO,323,-6.35167
CCC[N+](=O)[O-],273,-6.82958
CCC[N+](=O)[O-],298,-7.13121
CCC[N+](=O)[O-],323,-7.4058
C=COC(C)=O,273,-7.49647
C=COC(C)=O,298,-7.80874
C=COC(C)=O,323,-8.08962
CC(C)CC(C)C,298,-7.98749
CC(C)CC(C)C,323,-8.22924
CC(=O)CC(C)C,298,-7.51053
CC(=O)CC(C)C,323,-7.78545
CC(C)CC(C)O,273,-4.26739
CC(C)CC(C)O,298,-5.50081
CC(C)CC(C)O,323,-6.40419
c1ccc(CCCc2ccccc2)cc1,273,-4.37711
c1ccc(CCCc2ccccc2)cc1,298,-5.31826
c1ccc(CCCc2ccccc2)cc1,323,-5.93978
CCCCCCCCCc1ccccc1,273,-5.19286
CCCCCCCCCc1ccccc1,298,-5.87603
CCCCCCCCCc1ccccc1,323,-6.3603
CC(C)NC(C)C,273,-7.48014
CC(C)NC(C)C,298,-7.8775
CC(C)NC(C)C,323,-8.14199
CC(C)OC(C)C,273,-7.78989
CC(C)OC(C)C,298,-8.06325
CC(C)OC(C)C,323,-8.30096
CC(=O)OC(C)C,273,-7.30196
CC(=O)OC(C)C,298,-7.6213
CC(=O)OC(C)C,323,-7.90391
CC(=O)OC(C)=O,273,-6.68396
CC(=O)OC(C)=O,298,-7.08314
CC(=O)OC(C)=O,323,-7.39559
CC1CCC(=O)O1,298,-6.28773
CC1CCC(=O)O1,323,-6.69066
CC1COC(=O)O1,273,-5.49111
CC1COC(=O)O1,298,-6.00298
CC1COC(=O)O1,323,-6.41927
Cc1cccc(C)c1,273,-7.12189
Cc1cccc(C)c1,298,-7.44119
Cc1cccc(C)c1,323,-7.71231
Cc1cccc(O)c1,298,-4.32888
Cc1cccc(O)c1,323,-5.47251
Cc1cccc(Cl)c1,273,-6.7321
Cc1cccc(Cl)c1,298,-7.11865
Cc1cccc(Cl)c1,323,-7.40551
Cc1cccc(N)c1,273,-4.73854
Cc1cccc(N)c1,298,-5.74096
Cc1cccc(N)c1,323,-6.3739
Cc1ccnc(C)c1,273,-6.72025
Cc1ccnc(C)c1,298,-7.09538
Cc1ccnc(C)c1,323,-7.41299
Cc1cccc(C)n1,273,-6.74177
Cc1cccc(C)n1,298,-7.12698
Cc1cccc(C)n1,323,-7.43512
CCOC(=O)CC(C)C,298,-7.20057
CCOC(=O)CC(C)C,323,-7.52133
COCC(C)OC(C)=O,273,-6.26039
COCC(C)OC(C)=O,298,-6.82568
COCC(C)OC(C)=O,323,-7.22992
Cc1cc(C)cc(C)c1,298,-7.34008
Cc1cc(C)cc(C)c1,323,-7.63706
c1ccc(CCCCCCc2ccccc2)cc1,273,-3.8322
c1ccc(CCCCCCc2ccccc2)cc1,298,-4.83185
c1ccc(CCCCCCc2ccccc2)cc1,323,-5.52493
Cc1cc(C)nc(C)c1,273,-6.55664
Cc1cc(C)nc(C)c1,298,-7.094
Cc1cc(C)nc(C)c1,323,-7.49422
CC(C)CC(=O)CC(C)C,273,-6.62615
CC(C)CC(=O)CC(C)C,298,-7.0933
CC(C)CC(=O)CC(C)C,323,-7.44238
BrC1CCCCC1,298,-6.16133
BrC1CCCCC1,323,-6.5947
Brc1ccccc1,273,-6.46244
Brc1ccccc1,298,-6.83801
Brc1ccccc1,323,-7.13446
Cc1ccccc1,273,-7.1621
Cc1ccccc1,298,-7.49016
Cc1ccccc1,323,-7.76628
Cc1ccncc1,298,-7.05514
Cc1ccncc1,323,-7.38289
Clc1ccccc1,273,-6.8483
Clc1ccccc1,298,-7.18118
Clc1ccccc1,323,-7.45601
NC1CCCCC1,298,-6.28295
NC1CCCCC1,323,-6.77843
O=C1CCCCC1,273,-5.55902
O=C1CCCCC1,298,-6.18923
O=C1CCCCC1,323,-6.66522
Sc1ccccc1,273,-6.33139
Sc1ccccc1,298,-6.77159
Sc1ccccc1,323,-7.11727
Cc1cccnc1,298,-7.0306
Cc1cccnc1,323,-7.32505
CN1CCNCC1,298,-6.30067
CN1CCNCC1,323,-6.84837
Cc1ccccn1,273,-6.81035
Cc1ccccn1,298,-7.19058
Cc1ccccn1,323,-7.48469
CCCCOC(=O)CCC,273,-6.5312
CCCCOC(=O)CCC,298,-6.99644
CCCCOC(=O)CCC,323,-7.33809
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,273,-4.17502
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,298,-4.85449
CCCCOC(=O)CCCCCCCCC(=O)OCCCC,323,-5.43619
CCCCC(=O)O,273,-5.67412
CCCCC(=O)O,298,-6.21222
CCCCC(=O)O,323,-6.62785
CN(C)CCCN,273,-6.27521
CN(C)CCCN,298,-6.86699
CN(C)CCCN,323,-7.29585
CCCOC(C)=O,273,-7.1634
CCCOC(C)=O,298,-7.50949
CCCOC(C)=O,323,-7.80089
CCCOC(=O)Cl,273,-6.39741
CCCOC(=O)Cl,298,-6.90085
CCCOC(=O)Cl,323,-7.31238
BrCCCBr,298,-6.26871
BrCCCBr,323,-6.62304
CCCCBr,298,-7.40119
CCCCBr,323,-7.65125
CCCCC,273,-8.1771
CCCCC,298,-8.41485
CCCCC,323,-8.63452
CCCCCl,298,-7.76038
CCCCCl,323,-7.99952
CCCCN,273,-7.25789
CCCCN,298,-7.64324
CCCCN,323,-7.96765
CCCC#N,298,-7.49304
CCCC#N,323,-7.76768
NCCCN,273,-5.5308
NCCCN,298,-6.31509
NCCCN,323,-6.82458
CCCCS,273,-7.33186
CCCCS,298,-7.61697
CCCCS,323,-7.86145
CNCCO,273,-3.20537
CNCCO,298,-4.52755
CNCCO,323,-5.46234
COCCO,273,-5.89856
COCCO,298,-6.46297
COCCO,323,-6.91947
COCOC,273,-7.75594
COCOC,298,-8.05083
COCOC,323,-8.30482
CCNCC,298,-8.10966
CCNCC,323,-8.37311
CCOC=O,273,-7.58409
CCOC=O,298,-7.86784
CCOC=O,323,-8.10893
c1cc[nH]c1,273,-6.1795
c1cc[nH]c1,298,-6.70453
c1cc[nH]c1,323,-7.09247
C1CCOC1,273,-7.3946
C1CCOC1,298,-7.66774
C1CCOC1,323,-7.90344
c1ccoc1,273,-7.65318
c1ccoc1,298,-7.94634
c1ccoc1,323,-8.1964
C1CCSC1,298,-6.93263
C1CCSC1,323,-7.23047
c1ccsc1,273,-7.04093
c1ccsc1,298,-7.37364
c1ccsc1,323,-7.64628
CN(C)CCN(C)C,273,-6.71433
CN(C)CCN(C)C,298,-7.23364
CN(C)CCN(C)C,323,-7.65917
CC(=O)OCC(C)C,273,-7.07029
CC(=O)OCC(C)C,298,-7.32314
CC(=O)OCC(C)C,323,-7.58753
CCCCCCCCCCCCCC(=O)OC(C)C,298,-5.36649
CCCCCCCCCCCCCC(=O)OC(C)C,323,-5.95808
CCCCCCOC(=O)CCCCC(=O)OCCCCCC,273,-3.41097
CCCCCCOC(=O)CCCCC(=O)OCCCCCC,298,-4.97709
CCCCCCOC(=O)CCCCC(=O)OCCCCCC,323,-5.81505
CCCCCCCCCCCCCC(=O)OCCCC,298,-5.14394
CCCCCCCCCCCCCC(=O)OCCCC,323,-5.66381
CCCCCCCCCC(=O)OCC,273,-5.5862
CCCCCCCCCC(=O)OCC,298,-6.15912
CCCCCCCCCC(=O)OCC,323,-6.59986
CCCCCCCCOC(=O)CCC,298,-6.19658
CCCCCCCCOC(=O)CCC,323,-6.61739
CCOC(=O)CCCCCCCCC(=O)OCC,298,-5.27415
CCOC(=O)CCCCCCCCC(=O)OCC,323,-5.84621
CCCCCCCCCC(=O)OC,273,-5.6619
CCCCCCCCCC(=O)OC,298,-6.25303
CCCCCCCCCC(=O)OC,323,-6.68908
CCCCCC(C)=O,298,-7.18195
CCCCCC(C)=O,323,-7.49829
CC(C)CCOC=O,298,-7.17889
CC(C)CCOC=O,323,-7.42127
CCCCCC,273,-7.85006
CCCCCC,298,-8.10988
CCCCCC,323,-8.34113
CCCCCN,298,-7.37342
CCCCCN,323,-7.72529
CCCCC#N,273,-6.88015
CCCCC#N,298,-7.25736
CCCCC#N,323,-7.55841
OCCCCO,298,-2.62067
OCCCCO,323,-3.7417
COCCOC,273,-7.48132
COCCOC,298,-7.78084
COCCOC,323,-8.03479
CCNCCO,298,-4.41141
CCNCCO,323,-5.39006
CCCOC=O,273,-7.30539
CCCOC=O,298,-7.5986
CCCOC=O,323,-7.87371
CCOCCO,298,-6.29264
