MolFrac_1,T
0.7913600000000001,298.15
0.87521,298.15
1.0,298.15
0.0,298.15
0.007776,298.15
0.01059,298.15
0.01834,298.15
0.02351,298.15
0.029403,298.15
0.037452,298.15
0.038981,298.15
0.0450879999999999,298.15
0.7729,298.15
0.82131,298.15
0.8787,298.15
0.9325,298.15
1.0,298.15
0.0,298.15
0.00139,298.15
0.001837,298.15
0.0037655,298.15
0.0063721,298.15
0.0068949,298.15
0.0102239999999999,298.15
0.013267,298.15
0.8902399999999999,298.15
0.92383,298.15
0.9579,298.15
1.0,298.15
0.0,293.15
0.09109,293.15
0.1923,293.15
0.2702,293.15
0.3823,293.15
0.4812,293.15
0.5958,293.15
0.7186,293.15
0.8145,293.15
0.8918,293.15
1.0,293.15
0.0,303.15
0.09109,303.15
0.1923,303.15
0.2702,303.15
0.3823,303.15
0.4812,303.15
0.5958,303.15
0.7186,303.15
0.8145,303.15
0.8918,303.15
1.0,303.15
0.0,313.15
0.09109,313.15
0.1923,313.15
0.2702,313.15
0.3823,313.15
0.4812,313.15
0.5958,313.15
0.7186,313.15
0.8145,313.15
0.8918,313.15
1.0,313.15
0.0,293.15
0.1071,293.15
0.2168,293.15
0.3407,293.15
0.3927,293.15
0.4754,293.15
0.542,293.15
0.6374,293.15
0.6973,293.15
0.8077,293.15
0.8862,293.15
1.0,293.15
0.0,303.15
0.1071,303.15
0.2168,303.15
0.3407,303.15
0.3927,303.15
0.4754,303.15
0.542,303.15
0.6374,303.15
0.6973,303.15
0.8077,303.15
0.8862,303.15
1.0,303.15
0.0,313.15
0.1071,313.15
0.2168,313.15
0.3407,313.15
0.3927,313.15
0.4754,313.15
0.542,313.15
0.6374,313.15
0.6973,313.15
0.8077,313.15
0.8862,313.15
1.0,313.15
0.0,293.15
0.163,293.15
0.2353,293.15
0.3282,293.15
0.3907,293.15
0.4666,293.15
0.527,293.15
0.6065,293.15
0.6911,293.15
0.7846,293.15
0.881,293.15
1.0,293.15
0.0,303.15
0.163,303.15
0.2353,303.15
0.3282,303.15
0.3907,303.15
0.4666,303.15
0.527,303.15
0.6065,303.15
0.6911,303.15
0.7846,303.15
0.881,303.15
1.0,303.15
0.0,313.15
0.163,313.15
0.2353,313.15
0.3282,313.15
0.3907,313.15
0.4666,313.15
0.527,313.15
0.6065,313.15
0.6911,313.15
0.7846,313.15
0.881,313.15
1.0,313.15
0.0,293.15
0.1176,293.15
0.2278,293.15
0.3271,293.15
0.3874,293.15
0.4366,293.15
0.4885,293.15
0.5271,293.15
0.5756,293.15
0.6117,293.15
0.7174,293.15
0.8625,293.15
1.0,293.15
0.0,303.15
0.1176,303.15
0.2278,303.15
0.3271,303.15
0.3874,303.15
0.4366,303.15
0.4885,303.15
0.5271,303.15
0.5756,303.15
0.6117,303.15
0.7174,303.15
0.8625,303.15
1.0,303.15
0.0,313.15
0.1176,313.15
0.2278,313.15
0.3271,313.15
0.3874,313.15
0.4366,313.15
0.4885,313.15
0.5271,313.15
0.5756,313.15
0.6117,313.15
0.7174,313.15
0.8625,313.15
1.0,313.15
0.0,293.15
0.1395,293.15
0.2654,293.15
0.3923,293.15
0.5102,293.15
0.5898,293.15
0.6926,293.15
0.743,293.15
0.7994,293.15
0.8299,293.15
0.896,293.15
1.0,293.15
0.0,303.15
0.1395,303.15
0.2654,303.15
0.3923,303.15
0.5102,303.15
0.5898,303.15
0.6926,303.15
0.743,303.15
0.7994,303.15
0.8299,303.15
0.896,303.15
1.0,303.15
0.0,313.15
0.1395,313.15
0.2654,313.15
0.3923,313.15
0.5102,313.15
0.5898,313.15
0.6926,313.15
0.743,313.15
0.7994,313.15
0.8299,313.15
0.896,313.15
1.0,313.15
0.0,293.15
0.1862,293.15
0.3326,293.15
0.47,293.15
0.5927,293.15
0.6593,293.15
0.7583,293.15
0.8455,293.15
0.9249,293.15
1.0,293.15
0.0,303.15
0.1862,303.15
0.3326,303.15
0.47,303.15
0.5927,303.15
0.6593,303.15
0.7583,303.15
0.8455,303.15
0.9249,303.15
1.0,303.15
0.0,313.15
0.1862,313.15
0.3326,313.15
0.47,313.15
0.5927,313.15
0.6593,313.15
0.7583,313.15
0.8455,313.15
0.9249,313.15
1.0,313.15
0.0,293.15
0.1686,293.15
0.3263,293.15
0.4251,293.15
0.4893,293.15
0.5043,293.15
0.534,293.15
0.5506,293.15
0.5803,293.15
0.6353,293.15
0.7227,293.15
0.8671,293.15
1.0,293.15
0.0,303.15
0.1686,303.15
0.3263,303.15
0.4251,303.15
0.4893,303.15
0.5043,303.15
0.534,303.15
0.5506,303.15
0.5803,303.15
0.6353,303.15
